VIAC
XLNX
DISCK
AAPL
MSFT
GOOG
GOOGL
AMZN
TSLA
BRK/B
FB
JNJ
UNH
WMT
V
NVDA
PG
XOM
JPM
CVX
MA
HD
PFE
BAC
KO
LLY
ABBV
PEP
AVGO
MRK
COST
TMO
VZ
CSCO
ABT
DIS
ORCL
CMCSA
ADBE
MCD
ACN
INTC
DHR
NKE
BMY
PM
CRM
WFC
UPS
TMUS
TXN
LIN
QCOM
UNP
T
AMD
MS
RTX
MDT
NEE
AMGN
HON
CVS
COP
LOW
SCHW
IBM
ANTM
LMT
AXP
SPGI
DE
CAT
AMT
GS
TGT
INTU
MO
AMAT
PLD
MDLZ
BLK
C
CB
ADP
SYK
NOW
PYPL
MMM
DUK
BKNG
CI
EL
SBUX
ADI
GE
SO
MMC
GILD
CHTR
ZTS
NFLX
ISRG
CCI
MU
BA
USB
BDX
SHW
CSX
EOG
REGN
CME
NOC
D
PNC
TJX
CL
WM
ITW
PGR
HCA
LRCX
GD
TFC
VRTX
PXD
ATVI
FISV
AON
NSC
EW
EQIX
FIS
ETN
BSX
PSA
OXY
HUM
SLB
FDX
MAR
ICE
DG
KHC
MCO
GM
NEM
MRNA
APD
AEP
MET
SRE
F
MPC
FCX
VLO
EMR
DOW
CNC
ADM
KMB
MCK
KLAC
AIG
HSY
STZ
LHX
COF
MNST
EXC
ROP
ECL
NXPI
INFO
GIS
PSX
FTNT
DVN
PAYX
WMB
KMI
SYY
TRV
ORLY
APH
RSG
XEL
ADSK
SNPS
WELL
KR
TEL
O
CTVA
AZO
IQV
CTSH
SPG
CTAS
HPQ
PRU
CDNS
WBA
HLT
DLR
BAX
AFL
MCHP
DLTR
CMG
ALL
JCI
SBAC
A
TWTR
BK
PEG
LYB
ILMN
EA
MSI
ED
HES
PH
AJG
NUE
GPN
IFF
CARR
TSN
WEC
DD
YUM
ABC
MSCI
ANET
BF/B
BKR
TT
ROST
ES
HAL
OTIS
DXCM
TDG
ODFL
FAST
GLW
MTB
IDXX
PPG
PCAR
AVB
HRL
BIIB
WY
DFS
RMD
OKE
CERN
EQR
CMI
AME
VRSK
AMP
MTD
TROW
AWK
ARE
MKC
EBAY
CBRE
SIVB
CPRT
DTE
EIX
FRC
LUV
K
APTV
STT
ALB
FITB
FE
AEE
GWW
CHD
ETR
ZBH
NDAQ
ROK
KEYS
EFX
EXR
DHI
DAL
CTRA
HIG
LVS
LH
BLL
CDW
FANG
WTW
STE
TSCO
WST
LEN
VMC
VTR
MOS
NTRS
MTCH
PPL
ANSS
MAA
CF
FTV
ALGN
MLM
EXPE
CMS
HPE
DRE
URI
CINF
IT
ULTA
LYV
BBY
CLX
CNP
GRMN
ESS
RJF
AMCR
WAT
DOV
ENPH
GPC
HOLX
CFG
FOXA
EXPD
RF
HBAN
VFC
PKI
VRSN
SWK
MPWR
TDY
JBHT
MRO
WRB
IP
WDC
BXP
FLT
IR
CAG
KEY
FOX
CTLT
EPAM
PFG
STX
INCY
J
ZBRA
PAYC
SYF
ROL
PEAK
TER
DGX
SWKS
BR
BRO
POOL
ATO
SJM
PWR
COO
WAB
AKAM
TRMB
CCL
EVRG
OMC
DRI
NTAP
UDR
L
CPB
IRM
CAH
CE
RCL
XYL
PKG
MGM
LNT
KMX
BIO
FMC
TYL
LKQ
NLOK
AVY
NVR
KIM
IEX
LDOS
FDS
TECH
HWM
CHRW
HST
GNRC
UAL
TXT
VTRS
AES
EMN
APA
JKHY
MAS
AAP
CTXS
TFX
PTC
HAS
TTWO
IPG
BEN
WRK
NI
TAP
DPZ
LUMN
SEDG
HSIC
SBNY
CRL
BBWI
REG
CBOE
SNA
ETSY
RE
QRVO
ABMD
CZR
DISH
RHI
WHR
NWS
NWSA
AAL
PHM
FFIV
NRG
CMA
DVA
AIZ
ALLE
MKTX
JNPR
GL
NLSN
SEE
UHS
AOS
NWL
FRT
FBHS
LNC
LW
MHK
OGN
BWA
PBCT
PNW
HII
PNR
XRAY
TPR
ZION
CDAY
IVZ
DXC
WYNN
RL
VNO
NCLH
ALK
IPGP
UAA
PENN
UA
GPS
PVH
DISCA
